# merchant-rules-starter.csv — copy to <project>/rules/merchant_rules.csv and grow it per household.
# pattern = case-insensitive substring of the statement description; the LONGEST matching pattern wins (ties: file order).
# type in {הוצאה, הכנסה, העברה פנימית, חיסכון והשקעות, תשלום כרטיס אשראי}; group/cat must exist in the category scheme.
# Only national utilities / statutory bodies / nationwide chains / global subscriptions / generic bank descriptions here.
# Never add here: person names, employers, landlords, sole traders, P2P payees, card last-4, account numbers, "הו"ק ל…"/"העברה ל…" with a name.
# No commas inside any field (FM5).
pattern,name_clean,type,group,cat,note
קסטרו,קסטרו,הוצאה,ביגוד וטיפוח,ביגוד והנעלה,
פוקס,פוקס,הוצאה,ביגוד וטיפוח,ביגוד והנעלה,
H&M,H&M,הוצאה,ביגוד וטיפוח,ביגוד והנעלה,
ZARA,Zara,הוצאה,ביגוד וטיפוח,ביגוד והנעלה,
גולף,גולף,הוצאה,ביגוד וטיפוח,ביגוד והנעלה,
איקאה,איקאה,הוצאה,בית,ריהוט וציוד,
IKEA,איקאה,הוצאה,בית,ריהוט וציוד,
טמבור,טמבור,הוצאה,בית,תחזוקה,
שילב,שילב,הוצאה,תינוק וילדים,ציוד וביגוד תינוק,
סטימצקי,סטימצקי,הוצאה,פנאי ותרבות,ספרים,
איוונטר,Eventer (כרטיסים),הוצאה,פנאי ותרבות,הופעות ואירועים,
טיקצ'אק,Tickchak (כרטיסים),הוצאה,פנאי ותרבות,הופעות ואירועים,
רשות הטבע והגנים,רשות הטבע והגנים,הוצאה,פנאי ותרבות,בילויים,
וטרינר,וטרינר,הוצאה,בעלי חיים,וטרינר,
# ===== travel =====
אל על,אל על,הוצאה,חופשות וחו"ל,טיסות,
EL AL,אל על,הוצאה,חופשות וחו"ל,טיסות,
ישראייר,ישראייר,הוצאה,חופשות וחו"ל,טיסות,
ארקיע,ארקיע,הוצאה,חופשות וחו"ל,טיסות,
RYANAIR,Ryanair,הוצאה,חופשות וחו"ל,טיסות,
BOOKING.COM,Booking.com,הוצאה,חופשות וחו"ל,לינה,
AIRBNB,Airbnb,הוצאה,חופשות וחו"ל,לינה,
DUTY FREE,Duty Free,הוצאה,חופשות וחו"ל,הוצאות בחו"ל,
# ===== P2P markers (kept LAST by length; classify.py pairs them with the app rows) =====
PAYBOX,PayBox,הוצאה,שונות,אחר / לא מזוהה,נדרש: למי ועל מה (הערת האפליקציה)
BIT,BIT,הוצאה,שונות,אחר / לא מזוהה,נדרש: התאמה מול שורות האפליקציה או ציון הנמען
